name;state;city;country_code;
MassChallenge;MA;BOSTON;US;
Community Foundation of Western Massachusetts;MA;SPRINGFIELD;US;
Massachusetts Foundation for the Humanities;MA;NORTHAMPTON;US;
The Klarman Family Foundation;MA;Boston;US;
Amelia Peabody Charitable Fund Trust;MA;Boston;US;
BMR HARTNETT MIDDLE SCHOOL PTO INC;MA;BLACKSTONE;us;
THE KATYDID FOUNDATION INC;MA;NEWBURYPORT;us;
PEMBROKE EDUCATION FOUNDATION INC;MA;PEMBROKE;us;
The Amy J Bare Charitable Trust;MA;Fall River;us;
THE EPISODE FOUNDATION;MA;BOSTON;us;
GBL CHARITABLE FOUNDATION;MA;WESTWOOD;us;
THE LALOR FOUNDATION INC;MA;BOSTON;us;
TARA HILLS CHARITABLE FOUNDATION C/O BARNEKE AND ANDERSON LLP;MA;BOSTON;us;
SOMERLED CHARITABLE FOUNDATION;MA;DUXBURY;us;
THE SOLOMON FAMILY CHARITABLE FOUNDATION;MA;LYNN;us;
Alice Petinge Memorial Fund Inc;MA;Medway;us;
A&M Charitable Foundation Inc;MA;Woburn;us;
HOLLISTON HISTORICAL SOCIETY;MA;HOLLISTON;us;
POLLY THAYER STARR CHARITABLE TRUST HEMENWAY & BARNES LLP;MA;BOSTON;us;
SALEM SOCCERINC;MA;SALEM;us;
CHARLES MOSESIAN FAMILY FOUNDATION;MA;WESTON;us;
HOUSE OF PEACEINC;MA;IPSWICH;us;
OMEGA STAR-CHILD SEMINARS AKA LIGHT OMEGA;MA;AMHERST;us;
WOOD FAMILY FOUNDATION TRUST;MA;HAMPDEN;us;
Broughton Charitable Foundation;MA;Brookline;us;
SIBLEY-SALTONSTALL CHARITABLE FOUNDATION;MA;BOSTON;us;
THE MAX AND TILLIE ROSENN FOUNDATIONINC;MA;BOSTON;us;
BOWMAN SCHOOL PTA;MA;LEXINGTON;us;
MOUNT CARMEL LODGE AF & AM;MA;LYNN;us;
ST STEPHENS HOUSING CORPORATION C/O ST STEPHEN'S TOWERS;MA;LYNN;us;
Walpole Historical Society;MA;Walpole;us;
VASCULAR LABORATORY INC;MA;CAMBRIDGE;us;
KIDS' KARATE;MA;Newton Center;us;
THE GEORGE MOREY FOUNDATION;MA;Lexington;us;
CANNATA FAMILY FOUNDATION;MA;FOXBORO;us;
SANDWICH SPIRIT CLUB INC;MA;Sandwich;us;
THE DWYER FOUNDATION;MA;BOXFORD;us;
The Donald & Priscilla Felt Charitable Foundation;MA;Westford;us;
RICHDALE INC;MA;MEDFORD;us;
786 FOUNDATION;MA;BOSTON;us;
THE IWCV FOUNDATION INC;MA;PITTSFIELD;us;
N E TAMIL SANGAM INC;MA;Chelmsford;us;
PARIKH FOUNDATION;MA;NORTHAMPTON;us;
EDITH W AND JOHN A DOCKRAY CHARITABLE FOUNDATION INC;MA;SUDBURY;us;
AMHERST HURRICANES ALTHETIC BOOSTERS INC;MA;AMHERST;us;
SHALIN LIU WILDLIFE SANCTUARY FOUNDATION INC;MA;BOSTON;us;
MV YOUTH INC;MA;CHILMARK;us;
International Academic Program;MA;Cambridge;us;
DAOYIN HEALTH SOCIETY;MA;WALTHAM;us;
BETHLEHEM HOUSE INC;MA;EASTHAMPTON;us;
CARING CROWNS INC;MA;CARVER;us;
COLUMBUS ELEMENTARY SCHOOL PTO;MA;MEDFORD;us;
THE HAARTZ FAMILY FOUNDATION INC;MA;CONCORD;us;
Youre With Us Inc;MA;Methuen;us;
PROJECT SMILE INC;MA;Hopedale;us;
AEQUA FOUNDATION;MA;BOSTON;us;
INTERNATIONAL CITIZENS FOUNDATION INC;MA;HINGHAM;us;
MPM Oncology Charitable Foundation Inc;MA;Cambridge;us;
American Society of Science Engineering and Technology for Youth;MA;Lynnfield;us;
Narrative Therapy Initiative Inc;MA;Salem;us;
TERRAPIN STATION FOUNDATION;MA;BOSTON;us;
Kponee-Shovein Foundation;MA;Jamaica Plain;us;
Foundation for MetroWest;MA;Natick;US;
THE BROAD INSTITUTE INC;MA;CAMBRIDGE;US;
LADERA FOUNDATION C/O MARY MYERS KAUPPILA;MA;BOSTON;US;
ELEANORE BENNETT CHARITABLE TRUST#2;MA;WALTHAM;US;
BNY MELLON CHARITABLE GIFT FUND C/O BNY MELLON NA;MA;BOSTON;US;
Hansjorg Wyss Institute for Biologically Inspired Engineering at harvard univ inc;MA;Boston;US;
LEON V AND MARILYN L ROSENBERG FAMILY FOUNDATION;MA;NEWTON CENTRE;US;
JAMES & MELINDA RABB FAMILY FOUNDATION;MA;WESTON;US;
FAND FAMILY CHARITABLE TRUST C/O JOAN SPIEGEL;MA;BROOKLINE;US;
LISSY FAMILY FOUNDATION;MA;NEEDHAM;US;
THE LORING WOLCOTT & COOLIDGE CHARITABLE TRUST-I;MA;BOSTON;US;
CURE ALZHEIMER'S FUND;MA;WELLESLEY HILLS;US;
YOUNG-ROURKE CHARITABLE FOUNDATION TRUST;MA;BELMONT;US;
OSCAR MILLER FAMILY PRIVATE FOUNDATION;MA;NEWTON;US;
CU KIDS AT HEART INC;MA;BURLINGTON;US;
ZIONIST HOUSE INC;MA;NEWTON;US;
CONSIGLI FOUNDATION INC;MA;MILFORD;US;
THE BEVERIDGE FAMILY FOUNDATION INC;MA;WEST NEWBURY;US;
MARTIN W RICHARD CHARITABLE FOUNDATION INC;MA;DORCHESTER;US;
NEISMA INC;MA;Reading;us;
THE HARBUS FOUNDATION;MA;BOSTON;US;
PARTNERS HEALTHCARE SYSTEM INC;MA;SOMERVILLE;US;
CONSERVATORY LAB CHARTER SCHOOL FOUNDATION INC;MA;DORCHESTER;US;
GERALD FLAXER CHARITABLE FOUNDATION;MA;CAMBRIDGE;US;
ADELAIDE BREED BAYRD FOUNDATION C/O C HENRY KEZER;MA;MALDEN;US;
William E Schrafft and Bertha E Schrafft Charitable Trust;MA;Boston;US;
PAUL W CRONIN AND ELLEN S RAPHAEL CHARITABLE TRUST;MA;BROOKLINE;US;
MICHELI FAMILY FOUNDATION INC C/O CRISTINA MURPHY;MA;BOSTON;US;
THE 1434 FOUNDATION INC;MA;BOSTON;US;
THE NAOMI & WALTER CHUCNIN FOUNDATI;MA;SHARON;US;
Charles Robert Gens Foundation;MA;Wilmington;US;
NISSIE AND ETHEL GROSSMAN FOUNDATION;MA;ROCKPORT;US;
MARILYN & MIKE GROSSMAN FOUNDATION C/O GROSSMAN FAMILY OFFICE;MA;QUINCY;US;
REUBEN AND LIZZIE GROSSMAN FOUNDATION INC;MA;QUINCY;US;
COHEN-SOLOMON FAMILY FOUNDATION;MA;BROOKLINE;US;
BAY COLONY DEVELOPMENT CORP;MA;WALTHAM;US;
COMMUNITY FOUNDATION OF NORTH CENTRAL MASSACHUSETTS INC;MA;FITCHBURG;US;
THE DEVONSHIRE FOUNDATION C/O HOWLAND CAPITAL;MA;BOSTON;US;
PROJECT BREAD-THE WALK FOR HUNGER INC;MA;EAST BOSTON;US;
Joy In Childhood Foundation Inc;MA;Canton;US;
My Brothers Keeper Inc;MA;South Easton;US;
THE JOSEPH E AND ROSEMARIE CORCORAN FAMILY CHARITABLE FOUNDATION;MA;BOSTON;US;
LAWRENCE J AND ANNE RUBENSTEIN CHARITABLE FOUNDATION C/O RIDGEWAY PTRS;MA;BOSTON;US;
